STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CZE,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Czechia,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1.855848079413034,1.7991673275178428,2.3645286964734455,2.5984613033066695,3.03381313346393,3.955823623186024,3.5186827894237203,3.3948419455710708,3.0455215628455585,3.6448511453921535,3.864290964527809,4.005626481975163,4.389296379734898,2.7515950352649985,3.894987727224218,4.577114970088886,5.010952928485912,4.359101113403932,4.881155331332863,6.336423921640202,7.559421673282656,9.086994295643427,10.06153194994166,11.751613682648166,11.866973116032874,12.751192008773184,12.70746257907309,12.402602922256937,11.906141735861059,12.917826161888895,14.33772876698886,14.023489972357819
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BOL,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Bolivia,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,50.26959767731232,58.87521968365553,54.14593698175788,58.279894379479444,48.1586402266289,43.32560450480292,45.460160592958616,46.4573732718894,43.288409703504044,47.35892811131151,49.768814432989686,54.26274805325295,53.023894862604536,46.05955392044148,48.45947136563877,41.02625686952982,43.97728178557194,43.91964777105118,40.54501093723709,38.786000963236475,34.37511244377811,34.73903878583474,33.33006052454607,34.14088820826953,29.06832971800434,29.45128432240921,20.807993983023533,25.19467554076539,29.70724869843813,36.331448625463054,35.90920024052917,38.25517051199559
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COL,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Colombia,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,76.38419011469593,75.68261692349284,68.66500728508986,73.25397442879743,78.49259822743848,76.40462590130161,82.99202066325354,71.64443448043941,69.74630821658462,79.8608192050815,74.13816048781618,76.81060117842019,79.11010477712662,82.04253765011708,82.29010980171338,83.59198712855553,80.76616082719632,81.56751520857473,83.93597283045848,73.1129715165512,68.5384551947088,79.75637995079357,76.79469302318262,61.65828840150809,65.0719129896443,58.84156954552394,63.01041666666667,74.4765766902119,73.2358465790428,70.1969657402226,65.27714993274586,75.12462226663811
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SLB,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Solomon Islands,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,1.3730743469524447,1.4206514206514207,1.6067882289221882,1.6067882289221882,1.5678034588653629,1.4084507042253522,2.1048170645571407,3.2997834118996052,3.8580056699124863,4.180763653939101,3.176443310920473,4.8824798455773815,4.858987427794767,5.279140387759869,6.370762945787789,6.891287754879512,7.549131745866694,7.816253002401921,6.425978612773473,6.6469013006886,5.920826161790018,6.555158077927101
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SYR,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Syrian Arab Republic,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,23.494961674274396,22.037934148944906,21.015761821366024,20.54122487735401,16.80937952838888,15.10228640192539,13.903276811515184,13.325133251332513,12.760527435133987,11.919891318637978,12.945552603402465,12.891135070380352,8.869025095491379,9.452070565130533,13.123203541478318,12.478975239730929,10.673845988788457,9.089928057553957,7.0778100090193306,4.388403990024938,5.659039493245427,7.939333748145312,10.100432232170423,12.071005211026693,9.803195442160021,2.2518365703934786,5.057900262467192,3.6494239578031737,3.5468609865470855,3.555470852017937,3.8514761904761907,3.9057482930429965
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SVK,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Slovak Republic,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,7.194244604316546,5.689578534771892,8.198247767384771,14.184600278209638,16.93761667703796,18.22663778292373,16.40916149068323,16.033455635775436,16.39136447449293,15.749639173443168,15.967006868220041,16.448230668414155,17.377494063588987,12.101481814099687,13.848267739719306,15.1931330472103,15.81895728563244,18.170801254633588,16.45373247703888,19.67715541961384,22.736520927561205,18.72972501395868,20.269327379291095,23.13748612652608,23.656070946315825,23.458350369847228,25.40644398462903,24.62686567164179,22.598346372029216,24.122529366251673,24.755530896733475,23.560767590618337
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SUR,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Suriname,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,99.4502024291498,63.51706231454006,58.104589917230996,52.53802416488984,42.174571805006586,49.14667535853977,57.286816720257235,58.050493325594886,67.5919540229885,61.79988399071926,70.16350589441312,56.43255578093306,42.0406015037594,28.094012864918355,23.797443461160274,40.29126703685007,50.057917109458025,54.011146496815286,48.232604373757454,34.111822660098525,41.93365617433414
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ASM,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,American Samoa,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17375635497779782,0.9007857918609851,1.5484036086761788,1.5020366598778006,1.519311733479773,1.8311589539577604,4.587482219061166,4.756228394325903,4.273799252228933,3.871004307413285,3.8725406815218006
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UKR,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Ukraine,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.518329512941924,4.201906826035316,3.1216834835500786,4.801527580837385,5.971752693153034,5.129936397653826,4.7173007771086315,5.537016438017551,9.108794019279953,8.323843829886126,6.682026305812359,7.062992854334806,5.647138729321837,5.22344200487913,6.544067191831582,6.740963693531482,6.75774765876689,5.3932464038399806,6.138140882514825,6.979478052517293,7.091903743088948,5.744865297412644,5.90774243506069,8.121742798787922,6.416468837860605,5.738865605258978,7.03753957210478,8.808171243631238,9.596585185787667,9.20016089165115,12.78325820210637,12.013659333561305
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LSO,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Lesotho,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,99.89684844865496,99.89792355011147,99.9047833821945,99.90718124084026,99.906221465413,99.91715718334423,99.92135598832758,99.9253408778341,99.92475396526801,99.9250389600142,99.92433293508563,99.92261638089032,99.92196484310827,99.92653739826396,99.92727690276156,99.92892014739716,99.92582181619427,99.880810488677,99.88015618355433,99.86512965366313,99.878396707357,99.7862526718416
