"iso3c","date","value"
"ABW",2000,91.7
"ABW",2001,100
"ABW",2002,100
"ABW",2003,100
"ABW",2004,100
"ABW",2005,100
"ABW",2006,100
"ABW",2007,100
"ABW",2008,100
"ABW",2009,100
"ABW",2010,93.4
"ABW",2011,100
"ABW",2012,100
"ABW",2013,100
"ABW",2014,100
"ABW",2015,100
"ABW",2016,100
"ABW",2017,100
"ABW",2018,100
"ABW",2019,100
"ABW",2020,100
"ABW",2021,100
"AFG",2000,4.4
"AFG",2001,9.3
"AFG",2002,14.1
"AFG",2003,19
"AFG",2004,23.8
"AFG",2005,28.7
"AFG",2006,33.5
"AFG",2007,38.4
"AFG",2008,42.4
"AFG",2009,48.3
"AFG",2010,42.7
"AFG",2011,43.2
"AFG",2012,69.1
"AFG",2013,68
"AFG",2014,89.5
"AFG",2015,71.5
"AFG",2016,97.7
"AFG",2017,97.7
"AFG",2018,93.4
"AFG",2019,97.7
"AFG",2020,97.7
"AFG",2021,97.7
"AGO",2000,24.2
"AGO",2001,20
"AGO",2002,26.3
"AGO",2003,27.4
"AGO",2004,28.4
"AGO",2005,29.4
"AGO",2006,30.5
"AGO",2007,37.5
"AGO",2008,38.5
"AGO",2009,33.8
"AGO",2010,35
"AGO",2011,34.6
"AGO",2012,37.3
"AGO",2013,38.4
"AGO",2014,32
"AGO",2015,42
"AGO",2016,41.8
"AGO",2017,42.9
"AGO",2018,45.3
"AGO",2019,45.6
"AGO",2020,47
"AGO",2021,48.2
"ALB",2000,99.4
"ALB",2001,99.4
"ALB",2002,99.4
"ALB",2003,99.4
"ALB",2004,99.4
"ALB",2005,99.4
"ALB",2006,99.4
"ALB",2007,99.4
"ALB",2008,100
"ALB",2009,99.6
"ALB",2010,99.6
"ALB",2011,99.7
"ALB",2012,99.9
"ALB",2013,99.9
"ALB",2014,100
"ALB",2015,100
"ALB",2016,99.9
"ALB",2017,99.9
"ALB",2018,100
"ALB",2019,100
"ALB",2020,100
"ALB",2021,100
"AND",2000,100
"AND",2001,100
"AND",2002,100
"AND",2003,100
"AND",2004,100
"AND",2005,100
"AND",2006,100
"AND",2007,100
"AND",2008,100
"AND",2009,100
"AND",2010,100
"AND",2011,100
"AND",2012,100
"AND",2013,100
"AND",2014,100
"AND",2015,100
"AND",2016,100
"AND",2017,100
"AND",2018,100
"AND",2019,100
"AND",2020,100
"AND",2021,100
"ARE",2000,100
"ARE",2001,100
"ARE",2002,100
"ARE",2003,100
"ARE",2004,100
"ARE",2005,100
"ARE",2006,100
"ARE",2007,100
"ARE",2008,100
"ARE",2009,100
"ARE",2010,100
"ARE",2011,100
"ARE",2012,100
"ARE",2013,100
"ARE",2014,100
"ARE",2015,100
"ARE",2016,100
"ARE",2017,100
"ARE",2018,100
"ARE",2019,100
"ARE",2020,100
"ARE",2021,100
"ARG",2000,95.7
"ARG",2001,95.5
"ARG",2002,96.1
"ARG",2003,96.3
"ARG",2004,96.5
"ARG",2005,96.7
"ARG",2006,97
"ARG",2007,97.2
"ARG",2008,97.5
"ARG",2009,97.8
"ARG",2010,98.8
"ARG",2011,99
"ARG",2012,99.1
"ARG",2013,99.3
"ARG",2014,100
"ARG",2015,99.7
"ARG",2016,99.9
"ARG",2017,100
"ARG",2018,100
"ARG",2019,100
"ARG",2020,100
"ARG",2021,100
"ARM",2000,98.9
"ARM",2001,100
"ARM",2002,98
"ARM",2003,99.1
"ARM",2004,99.1
"ARM",2005,99.8
"ARM",2006,99.1
"ARM",2007,99.2
"ARM",2008,99.2
"ARM",2009,99.3
"ARM",2010,99.8
"ARM",2011,99.5
"ARM",2012,99.5
"ARM",2013,99.4
"ARM",2014,99.7
"ARM",2015,100
"ARM",2016,99.8
"ARM",2017,99.7
"ARM",2018,99.9
"ARM",2019,100
"ARM",2020,100
"ARM",2021,100
"ATG",2000,97.7
"ATG",2001,97.7
"ATG",2002,100
"ATG",2003,97.9
"ATG",2004,97.9
"ATG",2005,92.2
"ATG",2006,100
"ATG",2007,100
"ATG",2008,100
"ATG",2009,98.5
"ATG",2010,98.7
"ATG",2011,94.6
"ATG",2012,100
"ATG",2013,100
"ATG",2014,100
"ATG",2015,100
"ATG",2016,100
"ATG",2017,100
"ATG",2018,100
"ATG",2019,100
"ATG",2020,100
"ATG",2021,100
"AUS",2000,100
"AUS",2001,100
"AUS",2002,100
"AUS",2003,100
"AUS",2004,100
"AUS",2005,100
"AUS",2006,100
"AUS",2007,100
"AUS",2008,100
"AUS",2009,100
"AUS",2010,100
"AUS",2011,100
"AUS",2012,100
"AUS",2013,100
"AUS",2014,100
"AUS",2015,100
"AUS",2016,100
"AUS",2017,100
"AUS",2018,100
"AUS",2019,100
"AUS",2020,100
"AUS",2021,100
"AUT",2000,100
"AUT",2001,100
"AUT",2002,100
"AUT",2003,100
"AUT",2004,100
"AUT",2005,100
"AUT",2006,100
"AUT",2007,100
"AUT",2008,100
"AUT",2009,100
"AUT",2010,100
"AUT",2011,100
"AUT",2012,100
"AUT",2013,100
"AUT",2014,100
"AUT",2015,100
"AUT",2016,100
"AUT",2017,100
"AUT",2018,100
"AUT",2019,100
"AUT",2020,100
"AUT",2021,100
"AZE",2000,98.9
"AZE",2001,98.6
"AZE",2002,100
"AZE",2003,98.8
"AZE",2004,99
"AZE",2005,99.1
"AZE",2006,99.5
"AZE",2007,99.5
"AZE",2008,99.7
"AZE",2009,99.9
"AZE",2010,99.9
"AZE",2011,99.9
"AZE",2012,100
"AZE",2013,100
"AZE",2014,100
"AZE",2015,100
"AZE",2016,100
"AZE",2017,100
"AZE",2018,100
"AZE",2019,100
"AZE",2020,100
"AZE",2021,100
"BDI",2000,2.5
"BDI",2001,2.8
"BDI",2002,3.1
"BDI",2003,3.4
"BDI",2004,3.7
"BDI",2005,3.2
"BDI",2006,2.7
"BDI",2007,4.7
"BDI",2008,4.8
"BDI",2009,5.4
"BDI",2010,5.3
"BDI",2011,6.2
"BDI",2012,6.5
"BDI",2013,6.9
"BDI",2014,7
"BDI",2015,7.9
"BDI",2016,8.5
"BDI",2017,9.3
"BDI",2018,9.5
"BDI",2019,9.8
"BDI",2020,9.1
"BDI",2021,10.2
"BEL",2000,100
"BEL",2001,100
"BEL",2002,100
"BEL",2003,100
"BEL",2004,100
"BEL",2005,100
"BEL",2006,100
"BEL",2007,100
"BEL",2008,100
"BEL",2009,100
"BEL",2010,100
"BEL",2011,100
"BEL",2012,100
"BEL",2013,100
"BEL",2014,100
"BEL",2015,100
"BEL",2016,100
"BEL",2017,100
"BEL",2018,100
"BEL",2019,100
"BEL",2020,100
"BEL",2021,100
"BEN",2000,21.5
"BEN",2001,21.9
"BEN",2002,23.4
"BEN",2003,24.3
"BEN",2004,25.2
"BEN",2005,26.1
"BEN",2006,27.9
"BEN",2007,28
"BEN",2008,29
"BEN",2009,30
